Id,Date,Total Purchase,Location,Day of the Month,Week of the Month,Day of the Week,Month,Year
264,10/11/2025,$22.76,Taco Bell,11,2,Saturday,October,2025
265,10/1/2025,$10.82,The Human Bean,01,1,Wednesday,October,2025
266,9/28/2025,$6.61,Dairy Queen,28,4,Sunday,September,2025
267,9/28/2025,$59.67,Yu Noodles,28,4,Sunday,September,2025
268,9/27/2025,$15.87,Potbelly,27,4,Saturday,September,2025
269,9/27/2025,$6.20,Tatte Bakery,27,4,Saturday,September,2025
270,9/25/2025,$5.60,Taco Bell,25,4,Thursday,September,2025
271,9/25/2025,$10.16,Wendy's,25,4,Thursday,September,2025
272,9/23/2025,$7.41,Weird Bros,23,4,Tuesday,September,2025
273,9/22/2025,$2.62,Wawa,22,4,Monday,September,2025
274,9/21/2025,$11.44,De Clieu,21,3,Sunday,September,2025
275,9/20/2025,$11.60,Izzi,20,3,Saturday,September,2025
276,9/19/2025,$16.64,Taco Bell,19,3,Friday,September,2025
277,9/14/2025,$10.50,The Human Bean,14,2,Sunday,September,2025
278,9/14/2025,$8.98,Anitas,14,2,Sunday,September,2025
279,9/13/2025,$14.43,OH K-Dog,13,2,Saturday,September,2025
280,9/12/2025,$9.11,Taco Bell,12,2,Friday,September,2025
281,9/11/2025,$9.06,Weird Bros,11,2,Thursday,September,2025
282,9/11/2025,$23.01,Papa Johns,11,2,Thursday,September,2025
283,9/7/2025,$21.60,Taco Bell,07,1,Sunday,September,2025
284,9/6/2025,$28.09,Taco Bamba,06,1,Saturday,September,2025
285,9/4/2025,$10.58,Little Caesars,04,1,Thursday,September,2025
286,9/3/2025,$4.59,Taco Bell,03,1,Wednesday,September,2025
287,9/3/2025,$10.59,Dairy Queen,03,1,Wednesday,September,2025
288,8/31/2025,$13.44,McDonalds,31,5,Sunday,August,2025
289,8/28/2025,$19.71,Taco Bell,28,4,Thursday,August,2025
290,8/22/2025,$19.82,Taco Bell,22,4,Friday,August,2025
291,8/21/2025,$5.00,Wawa,21,3,Thursday,August,2025
292,8/20/2025,$16.41,Little Caesars,20,3,Wednesday,August,2025
293,8/19/2025,$16.59,Bento House,19,3,Tuesday,August,2025
294,8/17/2025,$7.68,Weird Bros,17,3,Sunday,August,2025
295,8/17/2025,$3.81,Taco Bell,17,3,Sunday,August,2025
296,8/17/2025,$6.50,Dominos,17,3,Sunday,August,2025
297,8/16/2025,$4.93,Wawa,16,3,Saturday,August,2025
298,8/16/2025,$45.03,Virginia Kitchen,16,3,Saturday,August,2025
299,8/14/2025,$9.91,Anitas,14,2,Thursday,August,2025
300,8/14/2025,$10.04,Wawa,14,2,Thursday,August,2025
301,8/14/2025,$10.68,Taco Bell,14,2,Thursday,August,2025
302,8/13/2025,$22.06,Wawa,13,2,Wednesday,August,2025
303,8/12/2025,$10.59,Dairy Queen,12,2,Tuesday,August,2025
304,8/10/2025,$6.50,Dominos,10,2,Sunday,August,2025
305,8/9/2025,$12.19,29th Parallel Coffee,09,2,Saturday,August,2025
306,8/7/2025,$21.18,Little Caesars,07,1,Thursday,August,2025
307,8/2/2025,$8.98,Taco Bell,02,1,Saturday,August,2025
308,8/2/2025,$16.31,Anitas,02,1,Saturday,August,2025
309,8/2/2025,$12.19,29th Parallel,02,1,Saturday,August,2025
310,7/31/2025,$14.58,Weird Bros,31,5,Thursday,July,2025
311,7/30/2025,$9.11,Taco Bell,30,5,Wednesday,July,2025
312,7/29/2025,$6.39,Weird Bros,29,5,Tuesday,July,2025
313,7/28/2025,$16.64,Taco Bell,28,4,Monday,July,2025
314,7/27/2025,$7.55,7-Eleven,27,4,Sunday,July,2025
315,7/25/2025,$12.72,Taco Bamba,25,4,Friday,July,2025
316,7/25/2025,$14.20,Chipotle,25,4,Friday,July,2025
317,7/24/2025,$13.76,Weird Bros,24,4,Thursday,July,2025
318,7/23/2025,$5.74,7-Eleven,23,4,Wednesday,July,2025
319,7/21/2025,$16.64,Taco Bell,21,3,Monday,July,2025
320,7/21/2025,$5.75,Wiseguy Pizza,21,3,Monday,July,2025
321,7/19/2025,$16.64,Bon Me Shack,19,3,Saturday,July,2025
322,7/19/2025,$7.31,Tea DM,19,3,Saturday,July,2025
323,7/19/2025,$13.89,Chipotle,19,3,Saturday,July,2025
324,7/18/2025,$12.95,The Boardroom,18,3,Friday,July,2025
325,7/18/2025,$5.18,Weird Bros,18,3,Friday,July,2025
326,7/18/2025,$13.70,Superette,18,3,Friday,July,2025
327,7/15/2025,$6.33,Weird Bros,15,3,Tuesday,July,2025
328,7/13/2025,$2.82,7-Eleven,13,2,Sunday,July,2025
